year,cylinders,fuel,mileage,body,doors,drivetrain,price
2024,4.0,4,9.0,7,4.0,2,30870.0
2024,4.0,5,8.0,6,4.0,0,54949.0
2024,4.0,3,11.0,5,4.0,0,34330.0
2024,4.0,3,3.0,6,4.0,1,51083.0
2024,4.0,4,5.0,6,4.0,0,44604.0
2024,6.0,3,6.0,6,4.0,0,46510.0
2024,4.0,4,10.0,6,4.0,0,52180.0
2024,4.0,5,4.0,6,4.0,0,58399.0
2024,6.0,0,24.0,5,4.0,1,63518.0
2024,4.0,4,6.0,6,4.0,1,77314.0
2024,4.0,3,10.0,6,4.0,0,38575.0
2024,6.0,0,20.0,5,4.0,1,80095.0
2024,4.0,3,0.0,6,4.0,2,32635.0
2024,4.0,3,0.0,6,4.0,0,49720.0
2024,4.0,3,23.0,6,4.0,0,36480.0
2024,6.0,3,6.0,6,4.0,1,50702.0
2024,8.0,3,15.0,6,4.0,0,58709.0
2024,4.0,3,25.0,6,4.0,2,45055.0
2023,6.0,3,0.0,5,4.0,1,54210.0
2024,4.0,3,12.0,6,4.0,0,33491.0
2024,4.0,3,12.0,6,4.0,2,25410.0
2024,8.0,0,0.0,5,4.0,1,90220.0
2024,4.0,4,5.0,6,4.0,1,66960.0
2024,4.0,3,15.0,6,4.0,2,26500.0
2024,6.0,3,14.0,6,4.0,0,0.0
2024,4.0,3,5.0,2,4.0,2,21000.0
2024,6.0,0,2.0,5,4.0,1,69697.0
2024,8.0,3,447.0,6,4.0,0,115445.0
2024,6.0,0,13.0,5,4.0,1,65774.0
2024,4.0,4,0.0,6,4.0,0,44621.0
2024,6.0,0,8.0,5,4.0,1,82523.0
2024,4.0,3,18.0,6,4.0,0,38122.0
2023,4.0,3,0.0,6,4.0,0,54200.0
2024,4.0,3,1.0,5,4.0,0,43299.0
2024,6.0,0,5.0,5,4.0,1,71846.0
2024,4.0,3,1.0,6,4.0,1,28867.0
2024,6.0,0,14.0,5,4.0,1,64516.0
2024,4.0,4,0.0,7,4.0,2,30335.0
2023,4.0,3,0.0,6,4.0,1,30000.0
2023,4.0,3,13.0,6,4.0,0,42785.0
2024,4.0,0,58.0,0,3.0,3,60061.0
2024,4.0,3,5.0,2,4.0,0,29068.0
2024,4.0,4,1.0,6,4.0,1,54905.0
2024,4.0,3,9.0,6,4.0,0,25311.0
2023,4.0,3,24.0,6,4.0,1,38300.0
2024,4.0,3,11.0,6,4.0,2,29111.0
2024,4.0,3,0.0,6,4.0,2,33969.0
2024,4.0,4,13.0,7,4.0,2,33005.0
2024,4.0,3,0.0,6,4.0,0,33092.0
2024,4.0,4,2.0,6,4.0,0,49885.0
2024,4.0,3,1.0,5,4.0,0,43419.0
2024,4.0,3,6.0,6,4.0,1,33696.0
2024,6.0,0,6.0,5,4.0,1,84860.0
2024,4.0,3,5.0,6,4.0,0,41195.0
2024,4.0,4,5.0,6,4.0,0,44826.0
2024,4.0,3,11.0,6,4.0,2,32011.0
2024,8.0,3,0.0,5,4.0,1,69720.0
2024,8.0,3,148.0,5,4.0,1,54559.0
2024,6.0,0,6.0,5,4.0,1,76300.0
2024,6.0,3,5.0,6,4.0,1,86137.0
2024,4.0,3,12.0,6,4.0,1,34084.0
2024,4.0,3,4440.0,6,4.0,0,34000.0
2024,4.0,3,12.0,6,4.0,2,24430.0
2024,4.0,3,0.0,6,4.0,0,37965.0
2024,4.0,4,10.0,6,4.0,0,34492.0
2024,4.0,3,0.0,6,4.0,0,32433.0
2024,4.0,4,15.0,6,4.0,0,35885.0
2024,6.0,3,5.0,6,4.0,3,60555.0
2024,8.0,3,2.0,5,4.0,1,76475.0
2024,6.0,0,10.0,5,4.0,1,93303.0
2024,6.0,3,0.0,0,3.0,3,61248.0
2024,6.0,3,0.0,6,4.0,1,49735.0
2024,4.0,3,10.0,5,4.0,0,36000.0
2024,4.0,3,148.0,6,4.0,0,33375.0
2024,6.0,0,296.0,5,4.0,1,67446.0
2024,4.0,3,7.0,6,4.0,1,31535.0
2024,4.0,4,12.0,6,4.0,1,64930.0
2024,4.0,3,2.0,5,4.0,1,44161.0
2024,4.0,3,9.0,7,4.0,2,26104.0
2024,8.0,3,2.0,5,4.0,1,49180.0
2024,4.0,3,25.0,7,4.0,2,26329.0
2024,6.0,0,13.0,5,4.0,1,58930.0
2024,4.0,0,10.0,4,3.0,3,69017.0
2024,6.0,3,6.0,6,4.0,1,42155.0
2024,6.0,4,4357.0,5,4.0,1,62341.0
2024,4.0,3,8.0,6,4.0,1,28867.0
2024,4.0,4,1.0,6,4.0,0,37335.0
2024,4.0,3,2500.0,6,4.0,3,46870.0
2024,4.0,3,12.0,6,4.0,2,26335.0
2024,6.0,3,20.0,6,4.0,1,42773.0
2024,4.0,3,1.0,6,4.0,2,30740.0
2024,8.0,3,0.0,5,4.0,1,58855.0
2024,6.0,3,10.0,6,4.0,1,77522.0
2024,4.0,0,10.0,0,3.0,3,59037.0
2024,4.0,3,33.0,6,4.0,0,60200.0
2024,4.0,3,6.0,6,4.0,1,29826.0
2024,4.0,3,15.0,6,4.0,2,24305.0
2024,4.0,5,4.0,6,4.0,0,57849.0
2024,6.0,3,12.0,6,4.0,1,60972.0
2023,8.0,3,34.0,6,4.0,0,47340.0
2024,4.0,4,25.0,6,4.0,0,33089.0
2024,4.0,3,5.0,2,4.0,0,32098.0
2023,8.0,3,32.0,6,4.0,0,46835.0
2024,6.0,3,7.0,6,4.0,1,49836.0
2024,6.0,0,0.0,5,4.0,1,65175.0
2024,6.0,3,9.0,6,4.0,0,43727.0
2024,4.0,3,1.0,6,4.0,0,35040.0
2024,6.0,3,13.0,6,4.0,1,80374.0
2024,4.0,3,5.0,6,4.0,0,47225.0
2024,4.0,4,5.0,6,4.0,1,61860.0
2024,6.0,0,0.0,5,4.0,1,58720.0
2024,6.0,0,21.0,5,4.0,1,67159.0
2023,8.0,3,33.0,6,4.0,0,47340.0
2024,4.0,3,1.0,6,4.0,2,34635.0
2023,8.0,3,31.0,6,4.0,0,46835.0
2024,4.0,3,5.0,6,4.0,0,36195.0
2024,4.0,3,5.0,6,4.0,0,27450.0
2024,4.0,3,0.0,6,4.0,1,32269.0
2024,4.0,3,5.0,6,4.0,3,49395.0
2024,6.0,3,14.0,6,4.0,1,39714.0
2024,4.0,3,7.0,7,4.0,2,23160.0
2024,4.0,4,1.0,6,4.0,0,42005.0
2024,6.0,0,10.0,5,4.0,1,86420.0
2024,4.0,3,19.0,6,4.0,0,57508.0
2024,4.0,5,4.0,6,4.0,0,58049.0
2024,6.0,0,5.0,5,4.0,1,67125.0
2024,6.0,0,15.0,5,4.0,1,64670.0
2024,4.0,3,10.0,6,4.0,0,38598.0
2024,4.0,3,25.0,7,4.0,2,25923.0
2024,6.0,1,24.0,0,3.0,3,50486.0
2024,4.0,3,12.0,6,4.0,0,69995.0
2024,4.0,3,0.0,6,4.0,2,27969.0
2023,8.0,3,33.0,6,4.0,0,47340.0
2024,4.0,4,399.0,6,4.0,2,37135.0
2024,6.0,0,6.0,5,4.0,1,72600.0
2024,6.0,3,6.0,6,4.0,1,88135.0
2023,8.0,3,30.0,6,4.0,0,46835.0
2024,4.0,3,0.0,6,4.0,1,34182.0
2024,4.0,4,5.0,6,4.0,0,44720.0
2024,4.0,4,24.0,6,4.0,1,70312.0
2024,4.0,3,1.0,5,4.0,0,37100.0
2024,4.0,3,15.0,6,4.0,2,26600.0
2024,6.0,3,4.0,6,4.0,1,74366.0
2024,8.0,3,5.0,5,4.0,1,47650.0
2024,6.0,3,16.0,6,4.0,1,78543.0
2024,4.0,3,0.0,6,4.0,0,40980.0
2024,4.0,3,3.0,6,4.0,0,27998.0
2024,4.0,3,5.0,6,4.0,2,29066.0
2024,6.0,3,21.0,6,4.0,1,88135.0
2024,6.0,0,9.0,5,4.0,1,65315.0
